"GEO_ID","county","tract","Description","Female_American Indian and Alaska Native","Female_Asian","Female_Black or African American","Female_Native Hawaiian and Other Pacific Islander","Female_Other","Female_Two or More","Female_White","Male_American Indian and Alaska Native","Male_Asian","Male_Black or African American","Male_Native Hawaiian and Other Pacific Islander","Male_Other","Male_Two or More","Male_White","sum_row"
"26001970500","Alcona","970500","45 to 54 years ",0,10,0,0,0,0,121,0,0,0,0,0,0,127,258
"26001970500","Alcona","970500","5 to 9 years ",0,0,0,0,0,3,17,0,0,0,0,0,0,30,50
"26001970500","Alcona","970500","55 to 64 years ",0,0,0,0,0,8,207,3,0,0,0,0,4,203,425
"26001970500","Alcona","970500","65 to 74 years ",0,0,0,0,0,0,163,4,0,0,0,0,0,264,431
"26001970500","Alcona","970500","75 to 84 years ",0,0,0,0,0,3,98,5,0,0,0,0,2,141,249
"26001970500","Alcona","970500","85 years and over ",0,0,0,0,0,0,21,0,0,0,0,0,0,45,66
"26001970500","Alcona","970500","Under 5 years ",0,0,0,0,0,0,33,0,0,0,0,0,0,25,58
"26001970600","Alcona","970600","10 to 14 years ",0,0,0,0,0,1,21,0,0,0,0,0,0,25,47
"26001970600","Alcona","970600","15 to 17 years ",0,0,0,0,0,0,5,0,0,0,0,0,14,32,51
"26001970600","Alcona","970600","18 and 19 years ",0,0,6,0,0,0,14,0,0,0,0,0,0,13,33
"26001970600","Alcona","970600","20 to 24 years ",0,0,0,0,0,0,20,0,0,9,0,0,0,36,65
"26001970600","Alcona","970600","25 to 29 years ",0,0,0,0,0,0,18,0,0,0,0,0,0,24,42
"26001970600","Alcona","970600","30 to 34 years ",0,0,0,0,0,0,27,0,0,0,0,0,0,23,50
"26001970600","Alcona","970600","35 to 44 years ",0,0,0,0,0,0,54,0,0,0,0,3,0,51,108
"26001970600","Alcona","970600","45 to 54 years ",0,0,0,0,0,4,93,0,0,0,0,0,0,54,151
"26001970600","Alcona","970600","5 to 9 years ",0,0,0,0,0,2,39,0,0,0,0,0,2,17,60
